ID,매물확인방식,보증금,월세,전용면적,해당층,총층,방향,방수,욕실수,주차가능여부,총주차대수,관리비,중개사무소,제공플랫폼,게재일,허위매물여부
TRAIN_0000,현장확인,402500000.0,470000,,,15.0,서향,1.0,1.0,가능,40.0,96,t93Nt6I2I0,B플랫폼,2024-10-09,0
TRAIN_0001,현장확인,170500000.0,200000,,3.0,4.0,남동향,2.0,1.0,불가능,,0,q39iV5J4E6,D플랫폼,2024-12-26,0
TRAIN_0002,전화확인,114000000.0,380000,,2.0,3.0,동향,1.0,1.0,불가능,,0,b03oE4G3F6,A플랫폼,2024-11-28,0
TRAIN_0003,현장확인,163500000.0,30000,36.3,3.0,9.0,남동향,2.0,1.0,가능,13.0,10,G52Iz8V2B9,A플랫폼,2024-11-26,0
TRAIN_0004,현장확인,346000000.0,530000,,3.0,3.0,동향,2.0,1.0,불가능,,0,N45gM0M7R0,B플랫폼,2024-06-25,1
TRAIN_0005,전화확인,153000000.0,530000,29.5,,3.0,남향,2.0,1.0,가능,1.0,0,Q42YF3Y0I2,A플랫폼,2024-09-12,0
TRAIN_0006,현장확인,348500000.0,400000,,2.0,3.0,북동향,1.0,1.0,불가능,,0,A72Mx9C8U2,D플랫폼,2024-08-23,0
TRAIN_0007,현장확인,139500000.0,590000,,2.0,3.0,동향,2.0,1.0,불가능,,0,d22DX4Y4P8,B플랫폼,2025-03-03,0
TRAIN_0008,현장확인,120500000.0,440000,31.55,1.0,2.0,북향,2.0,2.0,가능,18.0,3,G52Iz8V2B9,B플랫폼,2024-05-23,0
TRAIN_0009,현장확인,79500000.0,260000,39.66,2.0,3.0,남동향,2.0,1.0,불가능,2.0,0,M90Ph8W9V3,B플랫폼,2024-11-30,0
TRAIN_0010,현장확인,187500000.0,390000,23.69,1.0,15.0,남향,1.0,1.0,불가능,15.0,5,G52Iz8V2B9,A플랫폼,2023-12-16,0
TRAIN_0011,서류확인,91500000.0,750000,31.32,9.0,15.0,북동향,2.0,2.0,가능,44.0,8,G52Iz8V2B9,B플랫폼,2024-03-25,0
TRAIN_0012,전화확인,348500000.0,180000,23.14,2.0,5.0,동향,1.0,1.0,불가능,,0,J30yG7F1O0,C플랫폼,2024-07-15,1
TRAIN_0013,현장확인,27000000.0,320000,36.57,14.0,18.0,남향,1.0,1.0,불가능,46.0,3,G52Iz8V2B9,A플랫폼,2025-02-18,0
TRAIN_0014,전화확인,409000000.0,110000,,3.0,10.0,남향,1.0,1.0,가능,5.0,10,H90uE4C0W5,A플랫폼,2024-11-02,0
TRAIN_0015,현장확인,8500000.0,590000,30.56,2.0,9.0,서향,1.0,1.0,불가능,45.0,0,G52Iz8V2B9,C플랫폼,2023-10-18,0
TRAIN_0016,현장확인,15000000.0,10000,22.05,1.0,8.0,남향,1.0,1.0,가능,27.0,1,G52Iz8V2B9,C플랫폼,2023-11-05,0
TRAIN_0017,현장확인,385500000.0,750000,,3.0,6.0,남향,1.0,1.0,가능,7.0,8,Y04yg0T7Z5,B플랫폼,2024-10-16,0
TRAIN_0018,현장확인,123000000.0,600000,,4.0,4.0,남서향,1.0,1.0,가능,1.0,6,N00fb8Z9A4,D플랫폼,2024-09-15,0
TRAIN_0019,현장확인,146500000.0,240000,,2.0,3.0,남향,1.0,1.0,불가능,,0,G95MY2L8J8,F플랫폼,2024-11-04,0
TRAIN_0020,전화확인,12500000.0,50000,29.88,,10.0,남서향,2.0,1.0,가능,34.0,14,r82ax9M3U3,B플랫폼,2024-10-29,0
TRAIN_0021,전화확인,375500000.0,350000,19.07,2.0,5.0,서향,1.0,1.0,불가능,,8,a15xR3G4V0,A플랫폼,2024-07-28,0
TRAIN_0022,현장확인,24500000.0,740000,29.5,7.0,8.0,남서향,1.0,1.0,가능,1.0,4,W88DA3W2Q3,A플랫폼,2024-05-12,1
TRAIN_0023,현장확인,186000000.0,450000,24.49,4.0,14.0,남향,2.0,2.0,가능,16.0,4,G52Iz8V2B9,G플랫폼,2024-10-23,0
TRAIN_0024,서류확인,107500000.0,240000,27.16,9.0,10.0,북서향,2.0,1.0,가능,10.0,4,S69fV9Z3J7,C플랫폼,2024-10-15,0
TRAIN_0025,현장확인,397000000.0,450000,,10.0,11.0,동향,2.0,1.0,가능,1.0,8,o80Xg3Q1Q7,A플랫폼,2024-11-19,0
TRAIN_0026,현장확인,361000000.0,350000,17.5,6.0,6.0,남서향,1.0,1.0,가능,8.0,8,K86UF7I0P3,C플랫폼,2024-11-18,0
TRAIN_0027,전화확인,13000000.0,550000,,2.0,3.0,남동향,2.0,1.0,불가능,,0,Q27Pd1N0R1,E플랫폼,2024-10-02,0
TRAIN_0028,현장확인,354500000.0,750000,19.83,,5.0,남향,1.0,1.0,불가능,,0,Q42YF3Y0I2,A플랫폼,2025-01-02,0
TRAIN_0029,현장확인,402000000.0,640000,37.85,5.0,6.0,남향,2.0,2.0,불가능,48.0,3,G52Iz8V2B9,A플랫폼,2024-04-14,0
TRAIN_0030,현장확인,102000000.0,400000,29.48,6.0,8.0,북서향,2.0,2.0,불가능,43.0,6,G52Iz8V2B9,B플랫폼,2023-11-08,0
TRAIN_0031,현장확인,132000000.0,540000,,2.0,3.0,서향,1.0,1.0,불가능,,8,Z18up3D1C3,A플랫폼,2024-07-10,1
TRAIN_0032,현장확인,195000000.0,560000,39.66,3.0,6.0,남향,2.0,1.0,가능,5.0,0,l47ci2X2G0,A플랫폼,2024-09-30,0
TRAIN_0033,전화확인,160000000.0,80000,36.3,2.0,4.0,동향,2.0,1.0,불가능,1.0,0,A72Mx9C8U2,A플랫폼,2025-01-20,0
TRAIN_0034,현장확인,342000000.0,610000,41.42,8.0,21.0,남향,1.0,1.0,불가능,38.0,7,G52Iz8V2B9,B플랫폼,2024-08-03,0
TRAIN_0035,전화확인,129500000.0,430000,36.6,2.0,5.0,남향,2.0,1.0,가능,3.0,18,S30er7F3P4,E플랫폼,2024-09-17,0
TRAIN_0036,현장확인,94000000.0,270000,,4.0,9.0,남서향,1.0,1.0,불가능,,1,D47oH9N4M3,B플랫폼,2024-07-05,0
TRAIN_0037,현장확인,25000000.0,520000,,,,동향,,,불가능,,4,k74XT0T1B8,D플랫폼,2024-10-06,0
TRAIN_0038,서류확인,32500000.0,630000,,5.0,11.0,동향,1.0,1.0,가능,21.0,19,S69fV9Z3J7,C플랫폼,2024-11-30,0
TRAIN_0039,현장확인,171000000.0,480000,34.48,2.0,3.0,북향,2.0,1.0,불가능,,7,S12iP7V0Q9,A플랫폼,2024-02-02,0
TRAIN_0040,현장확인,361000000.0,440000,17.5,3.0,9.0,동향,1.0,1.0,가능,43.0,7,G52Iz8V2B9,C플랫폼,2023-11-26,0
TRAIN_0041,현장확인,324000000.0,660000,20.26,11.0,14.0,동향,1.0,1.0,가능,21.0,2,G52Iz8V2B9,A플랫폼,2024-12-24,0
TRAIN_0042,서류확인,127000000.0,460000,36.54,2.0,3.0,남향,2.0,1.0,불가능,,0,S14na8Q8K2,A플랫폼,2024-12-21,0
TRAIN_0043,전화확인,348500000.0,600000,,5.0,5.0,동향,2.0,2.0,가능,7.0,3,S69fV9Z3J7,C플랫폼,2024-08-03,0
TRAIN_0044,현장확인,20000000.0,170000,26.19,4.0,5.0,북향,1.0,1.0,불가능,,3,W88DA3W2Q3,D플랫폼,2024-11-25,0
TRAIN_0045,현장확인,86500000.0,40000,38.1,5.0,9.0,서향,1.0,1.0,가능,20.0,10,G52Iz8V2B9,A플랫폼,2024-06-05,0
TRAIN_0046,현장확인,20500000.0,500000,17.5,5.0,11.0,북향,1.0,1.0,가능,,14,C41wx1K6U9,B플랫폼,2024-12-22,0
TRAIN_0047,현장확인,76000000.0,700000,,3.0,5.0,서향,1.0,1.0,불가능,,6,m69GM9O9B3,B플랫폼,2023-12-19,1
TRAIN_0048,현장확인,156000000.0,550000,26.25,3.0,7.0,남동향,1.0,1.0,가능,5.0,0,S12iP7V0Q9,A플랫폼,2024-02-16,1
TRAIN_0049,전화확인,6500000.0,290000,40.89,6.0,6.0,동향,1.0,1.0,가능,11.0,5,r16Dr6Z7C3,G플랫폼,2024-12-08,0
TRAIN_0050,현장확인,178500000.0,240000,22.55,2.0,3.0,동향,1.0,1.0,가능,1.0,0,E29LO2X8S7,E플랫폼,2024-07-24,0
TRAIN_0051,전화확인,131000000.0,110000,18.59,4.0,7.0,북향,1.0,1.0,가능,2.0,0,J07Zn4B0R7,C플랫폼,2024-12-31,0
TRAIN_0052,현장확인,113500000.0,490000,,2.0,3.0,남향,1.0,1.0,불가능,,0,r16Dr6Z7C3,G플랫폼,2024-10-05,0
